일련번호,상호명,지번주소
20837,미니스톱,광주광역시 광산구 용동 143-1
20838,미니스톱소촌모아점,광주광역시 광산구 소촌동 290-41
20839,BKMART진월점,광주광역시 남구 진월동 438
20840,세븐일레브,광주광역시 광산구 월계동 827-1
20841,24시편의점,광주광역시 남구 봉선동 127-15
20842,CU,광주광역시 동구 학동 734-2
20843,GS25,광주광역시 북구 양산동 808
20844,미니스톱,광주광역시 동구 월남동 620
20845,CU,광주광역시 북구 용봉동 1197-1
20846,CU,광주광역시 북구 매곡동 42-5
20847,CU,광주광역시 남구 진월동 365-3
20848,CU,광주광역시 광산구 산월동 885-1
20849,CU,광주광역시 북구 연제동 1007
20850,세븐일레븐,광주광역시 서구 쌍촌동 1227-8
20851,GS25,광주광역시 북구 양산동 1035-1
20852,GS25,광주광역시 광산구 우산동 1578-6
20853,미니스톱,광주광역시 북구 충효동 892-4
20854,세븐일레븐,광주광역시 북구 신용동 860
20855,세븐일레븐,광주광역시 남구 봉선동 494
20856,CU,광주광역시 서구 풍암동 1127
20857,CU,광주광역시 서구 매월동 622-8
20858,GS25,광주광역시 남구 진월동 330-23
20859,이마트,광주광역시 광산구 신창동 1239-7
20860,GS25,광주광역시 서구 화정동 1612
20861,GS25,광주광역시 북구 운암동 352-3
20862,세븐일레븐,광주광역시 광산구 산정동 955-12
20863,세븐일레븐,광주광역시 광산구 운남동 769-4
20864,세븐일레븐,광주광역시 북구 오치동 957-10
20865,CU,광주광역시 북구 문흥동 1011-5
20866,미니스톱,광주광역시 광산구 산정동 1146
20867,CU,광주광역시 광산구 도산동 1282-1
20868,CU,광주광역시 남구 주월동 1320
20869,이마트,광주광역시 광산구 도산동 887-1
20870,세븐일레븐,광주광역시 북구 운암동 815
20871,세븐일레븐,광주광역시 광산구 월계동 893-1
20872,GS25,광주광역시 북구 오치동 943-13
20873,미니스톱,광주광역시 광산구 연산동 1187
20874,CU,광주광역시 북구 동림동 1161-1
20875,이마트,광주광역시 북구 우산동 616-6
20876,GS25,광주광역시 동구 계림동 238
20877,GS25,광주광역시 북구 신안동 482-31
20878,GS25,광주광역시 북구 오치동 946-1
20879,CU,광주광역시 광산구 송정동 817-8
20880,CU,광주광역시 광산구 산월동 883-2
20881,이마트,광주광역시 남구 월산동 974-1
20882,레몬비,광주광역시 동구 학동 71-3
20883,데코르#,광주광역시 남구 주월동 974-273
20884,CU,광주광역시 광산구 신가동 1034
20885,미니스톱,광주광역시 남구 지석동 207-5
20886,GS25,광주광역시 서구 화정동 811-14
20887,코리아세븐광주,광주광역시 동구 불로동 157-1
20888,세븐일레븐,광주광역시 광산구 장덕동 975-2
